📆 Saison;🚴‍♂️ Course;📅 Date;🔢 Etape;🟢 Ville départ;🏁 Ville d'arrivée;📏 Distance;🌄 Type;🥇 Vainqueur;👑 Leader général;Format vidéo;📺 Diffuseur;Rareté;Type de course;Titre;Prix vidéo
2014;Tour de France;samedi 26 juillet 2014;20;Bergerac;Périgueux;54;Chrono individuel;Tony Martin;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;5
2014;Tour de France;dimanche 27 juillet 2014;21;Evry;Paris-Champs-Elysées;137,5;Plat;Marcel Kittel;Vincenzo Nibali;Intégralité;France TV;Peu courant;Grand Tour;;5
2014;Championnat du Monde;dimanche 28 septembre 2014;;Ponferrada;Ponferrada;254,8;Course en ligne;Michał Kwiatkowski;;Intégralité;Bein;Peu courant;Classique ou Semi-classique;;6
2015;Milan-San Remo;dimanche 22 mars 2015;;Milano;Sanremo;293;Classique;John Degenkolb;;Long format;Bein;Très rare;Classique ou Semi-classique;;7
2015;Tour des Flandres;dimanche 5 avril 2015;;Bruges;Oudenaarde;264,9;Classique;Alexander Kristoff;;Long format;Eurosport;Très rare;Classique ou Semi-classique;;7
2015;Paris-Roubaix;dimanche 12 avril 2015;;Compiègne;Roubaix;253,5;Classique;John Degenkolb;;Long format;France TV;Rare;Classique ou Semi-classique;;6
2015;Amstel Gold Race;dimanche 19 avril 2015;;Maastricht;Fauquemont;258;Classique;Michał Kwiatkowski;;Long format;France 3;Rare;Classique ou Semi-classique;;6
2015;Flèche Wallonne;mercredi 22 avril 2015;;Waremme;Huy;205;Classique;Alejandro Valverde;;Long format;France 3;Rare;Classique ou Semi-classique;;6
2015;Giro;lundi 11 mai 2015;3;Rapallo;Sestri Levante;185;Accidentée;Michael Matthews;Michael Matthews;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;mardi 12 mai 2015;4;Chiavari;La Spezia;150;Accidentée;Davide Formolo;Simon Clarke;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;mercredi 13 mai 2015;5;La Spezia;Abetone;152;Montagne;Jan Polanc;Alberto Contador;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;vendredi 15 mai 2015;7;Grosseto;Fiuggi;263;Accidentée;Diego Ulissi;Alberto Contador;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;samedi 16 mai 2015;8;Fiuggi;Campitello Matese;188;Montagne;Beñat Intxausti;Alberto Contador;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;dimanche 17 mai 2015;9;Benevento;San Giorgio del Sannio;224;Montagne;Paolo Tiralongo;Alberto Contador;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;mardi 19 mai 2015;10;Civitanova Marche;Forlì;195;Plat;Nicola Boem;Alberto Contador;Long format;Bein;Rare;Grand Tour;;5
2015;Giro;mercredi 20 mai 2015;11;Forlì;Imola;147;Accidentée;Ilnur Zakarin;Alberto Contador;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;jeudi 21 mai 2015;12;Imola;Vicenza (Monte Berico);190;Accidentée;Philippe Gilbert;Alberto Contador;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;samedi 23 mai 2015;14;Treviso;Valdobbiadene;59,2;Chrono individuel;Vasil Kiryienka;Alberto Contador;Long format;Bein;Rare;Grand Tour;;5
2015;Giro;dimanche 24 mai 2015;15;Marostica;Madonna di Campiglio;165;Montagne;Mikel Landa;Alberto Contador;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;mardi 26 mai 2015;16;Pinzolo;Aprica;175;Montagne;Mikel Landa;Alberto Contador;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;jeudi 28 mai 2015;18;Melide;Verbania;172;Accidentée;Philippe Gilbert;Alberto Contador;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;vendredi 29 mai 2015;19;Gravellona Toce;Cervinia;236;Montagne;Fabio Aru;Alberto Contador;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;samedi 30 mai 2015;20;Saint-Vincent;Sestrière;196;Montagne;Fabio Aru;Alberto Contador;Long format;Bein;Rare;Grand Tour;;6
2015;Giro;dimanche 31 mai 2015;21;Turin;Milan;185;Plat;Iljo Keisse;Alberto Contador;Long format;Bein;Rare;Grand Tour;;5
2015;Tour de France;samedi 4 juillet 2015;1;Utrecht;Utrecht;13;Chrono individuel;Rohan Dennis;Rohan Dennis;Intégralité;France TV;Peu courant;Grand Tour;;5
2015;Tour de France;dimanche 5 juillet 2015;2;Utrecht;Zélande;166;Plat;André Greipel;Fabian Cancellara;Intégralité;France TV;Peu courant;Grand Tour;;5
2015;Tour de France;lundi 6 juillet 2015;3;Anvers;Huy;159,5;Accidentée;Joaquim Rodríguez;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;mardi 7 juillet 2015;4;Seraing;Cambrai;223,5;Accidentée;Tony Martin;Tony Martin;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;mercredi 8 juillet 2015;5;Arras;Amiens;189,5;Plat;André Greipel;Tony Martin;Intégralité;France TV;Peu courant;Grand Tour;;5
2015;Tour de France;jeudi 9 juillet 2015;6;Abbeville;Le Havre;191,5;Plat;Zdeněk Štybar;Tony Martin;Intégralité;France TV;Peu courant;Grand Tour;;5
2015;Tour de France;vendredi 10 juillet 2015;7;Livarot;Fougères;190,5;Plat;Mark Cavendish;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;5
2015;Tour de France;samedi 11 juillet 2015;8;Rennes;Mûr-de-Bretagne;181,5;Accidentée;Alexis Vuillermoz;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;dimanche 12 juillet 2015;9;Vannes;Plumelec;28;Chrono par équipe;BMC Racing;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;5
2015;Tour de France;mardi 14 juillet 2015;10;Tarbes;La Pierre Saint-Martin;167;Montagne;Christopher Froome;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;mercredi 15 juillet 2015;11;Pau;Cauterets;188;Montagne;Rafał Majka;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;jeudi 16 juillet 2015;12;Lannemezan;Plateau de Beille;195;Montagne;Joaquim Rodríguez;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;vendredi 17 juillet 2015;13;Muret;Rodez;198,5;Accidentée;Greg Van Avermaet;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;samedi 18 juillet 2015;14;Rodez;Mende;178,5;Accidentée;Steve Cummings;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;dimanche 19 juillet 2015;15;Mende;Valence;183;Plat;André Greipel;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;5
2015;Tour de France;lundi 20 juillet 2015;16;Bourg-de-Péage;Gap;201;Accidentée;Rubén Plaza;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;mercredi 22 juillet 2015;17;Digne-les-Bains;Pra-Loup;161;Montagne;Simon Geschke;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;jeudi 23 juillet 2015;18;Gap;Saint-Jean-de-Maurienne;186,5;Montagne;Romain Bardet;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;vendredi 24 juillet 2015;19;Saint-Jean-de-Maurienne;La Toussuire;138;Montagne;Vincenzo Nibali;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;samedi 25 juillet 2015;20;Modane;Alpe d'Huez;110,5;Montagne;Thibaut Pinot;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2015;Tour de France;dimanche 26 juillet 2015;21;Sèvres;Paris-Champs-Elysées;109,5;Plat;André Greipel;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;5
2015;Championnat du Monde;dimanche 27 septembre 2015;;Richmond;Richmond;261,4;Course en ligne;Peter Sagan;;Long format;France TV;Rare;Classique ou Semi-classique;;6
2015;Tour de Lombardie;dimanche 4 octobre 2015;;Bergame;Côme;245;Classique;Vincenzo Nibali;;Long format;L'Equipe TV;Très rare;Classique ou Semi-classique;;7
2016;Paris-Nice;lundi 7 mars 2016;1;Condé-sur-Vesgre;Vendôme;198;Plat;Arnaud Démare;Michael Matthews;Long format;France TV;Très rare;Autre;;5
2016;Milan-San Remo;samedi 19 mars 2016;;Milano;Sanremo;293;Classique;Arnaud Démare;;Long format;L'Equipe TV;Très rare;Classique ou Semi-classique;;7
2016;Tour des Flandres;dimanche 3 avril 2016;;Bruges;Oudenaarde;255;Classique;Peter Sagan;;Long format;France TV;Très rare;Classique ou Semi-classique;;7
2016;Paris-Roubaix;dimanche 10 avril 2016;;Compiègne;Roubaix;257,5;Classique;Mathew Hayman;;Long format;France TV;Très rare;Classique ou Semi-classique;;7
2016;Giro;vendredi 6 mai 2016;1;Apeldoorn;Apeldoorn;9,8;Chrono individuel;Tom Dumoulin;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;4
2016;Giro;samedi 7 mai 2016;2;Arnhem;Nijmegen;190;Plat;Marcel Kittel;Marcel Kittel;Long format;L'Equipe TV;Peu courant;Grand Tour;;4
2016;Giro;dimanche 8 mai 2016;3;Nijmegen;Arnhem;190;Plat;Marcel Kittel;Marcel Kittel;Long format;L'Equipe TV;Peu courant;Grand Tour;;4
2016;Giro;mardi 10 mai 2016;4;Catanzaro;Praia a Mare;200;Accidentée;Diego Ulissi;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;mercredi 11 mai 2016;5;Praia a Mare;Benevento;233;Accidentée;André Greipel;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;jeudi 12 mai 2016;6;Ponte;Roccaraso;157;Montagne;Tim Wellens;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;vendredi 13 mai 2016;7;Sulmona;Foligno;211;Accidentée;André Greipel;Tom Dumoulin;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;samedi 14 mai 2016;8;Foligno;Arezzo;186;Accidentée;Gianluca Brambilla;Gianluca Brambilla;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;dimanche 15 mai 2016;9;Radda in Chianti;Greve in Chianti;40,5;Chrono individuel;Primož Roglič;Gianluca Brambilla;Long format;L'Equipe TV;Peu courant;Grand Tour;;4
2016;Giro;mardi 17 mai 2016;10;Campi Bisenzio;Sestola;219;Montagne;Giulio Ciccone;Bob Jungels;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;mercredi 18 mai 2016;11;Modena;Asolo;227;Accidentée;Diego Ulissi;Bob Jungels;Long format;L'Equipe TV;Peu courant;Grand Tour;;5
2016;Giro;jeudi 19 mai 2016;12;Noale;Bibione;182;Plat;André Greipel;Bob Jungels;Long format;L'Equipe TV;Peu courant;Grand Tour;;4
