📆 Saison;🚴‍♂️ Course;📅 Date;🔢 Etape;🟢 Ville départ;🏁 Ville d'arrivée;📏 Distance;🌄 Type;🥇 Vainqueur;👑 Leader général;Format vidéo;📺 Diffuseur;Rareté;Type de course;Titre;Prix vidéo
2017;Tour de France;05-juil-17;5;Vittel;La Planche des Belles Filles;160,5;Montagne;Fabio Aru;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;06-juil-17;6;Vesoul;Troyes;216;Plat;Marcel Kittel;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;07-juil-17;7;Troyes;Nuits-Saint-Georges;213,5;Plat;Marcel Kittel;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;08-juil-17;8;Dole;Station des Rousses;187,5;Accidentée;Lilian Calmejane;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;09-juil-17;9;Nantua;Chambéry;181,5;Montagne;Rigoberto Urán;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;11-juil-17;10;Périgueux;Bergerac;178;Plat;Marcel Kittel;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;12-juil-17;11;Eymet;Pau;203,5;Plat;Marcel Kittel;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;13-juil-17;12;Pau;Peyragudes;214,5;Montagne;Romain Bardet;Fabio Aru;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;14-juil-17;13;Saint-Girons;Foix;101;Montagne;Warren Barguil;Fabio Aru;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;15-juil-17;14;Blagnac;Rodez;181,5;Accidentée;Michael Matthews;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2017;Tour de France;16-juil-17;15;Laissac-Sévérac l'Église;Le Puy-en-Velay;189,5;Accidentée;Bauke Mollema;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
